team,season,BF,2B,3B,totalSwings,swingAndMisses,BIP,popOuts,lineOuts,GO,flyHits,popHits,lineHits,groundHits,Strikes,Fstrikes,CSW,Cstr,HR,K,BB,numP,HBP,SF,H,AB,FO,R,IP,IP_corrected,1B,SLG,OBP,OPS,AVG,BABIP,HR/FB%,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K%,BB%,K-BB%,CSW%,CStr%,F-Strike%,Str%,K/9,BB/9,H/9,R/9,HR/9,K/BB
MVA,2024,3427,123,12,6121,1496,2459,184,126,877,162,12,349,279,9143,2301,3865,2202,76,642,290,12810,35,21,802,3047,470,408,802.1,802.3333333333334,591,0.386,0.332,0.718,0.263,0.315,12.0,11.7,24.4,25.7,47.0,19.3,8.0,18.7,8.5,10.3,30.2,17.2,67.1,71.4,7.201495637723307,3.253012048192771,8.996260905691733,4.576651433319484,0.852513502285002,2.213793103448276
OAX,2024,3683,180,8,6711,1711,2544,158,92,836,306,5,289,354,11719,2859,4898,2590,132,666,421,14066,52,27,954,3159,504,591,792.0,792.0,634,0.489,0.39,0.879,0.302,0.352,16.3,12.2,25.5,31.8,46.8,15.0,6.4,18.1,11.4,6.7,34.8,18.4,77.6,83.3,7.568181818181818,4.784090909090909,10.840909090909092,6.715909090909091,1.5,1.5819477434679334
PUE,2024,3362,147,9,6011,1416,2463,202,110,823,279,5,317,277,10094,2565,4184,2412,106,568,280,12572,51,21,878,2979,450,477,750.0,750.0,616,0.457,0.363,0.8200000000000001,0.295,0.338,14.5,11.3,23.6,29.6,44.7,17.3,8.4,16.9,8.3,8.6,33.3,19.2,76.3,80.3,6.816,3.36,10.536,5.724,1.272,2.0285714285714285
QRO,2024,3585,184,9,6356,1520,2581,204,137,820,242,6,420,337,9038,2216,3785,2151,131,601,374,13632,29,26,1005,3127,414,580,760.2,760.6666666666666,681,0.512,0.396,0.908,0.321,0.369,20.0,11.2,23.9,25.4,44.8,21.6,8.1,16.8,10.4,6.3,27.8,15.8,61.8,66.3,7.110867659947415,4.425065731814199,11.890885188431202,6.862401402278703,1.5499561787905347,1.606951871657754
SLT,2024,3559,217,19,6578,1909,2640,187,113,898,181,4,472,320,9492,2451,4074,1948,93,640,244,12854,35,24,977,3232,465,492,808.0,808.0,648,0.468,0.355,0.823,0.302,0.357,14.4,14.9,29.0,24.5,46.1,22.2,7.2,18.0,6.9,11.1,31.7,15.2,68.9,73.8,7.128712871287129,2.717821782178218,10.882425742574258,5.48019801980198,1.0358910891089108,2.622950819672131
TAB,2024,3472,152,5,6268,1566,2400,189,104,800,222,1,301,268,9340,2263,4120,2389,105,719,309,13389,41,20,792,3071,515,429,801.2,801.6666666666666,530,0.413,0.332,0.745,0.258,0.308,14.2,11.7,25.0,30.7,44.5,16.9,7.9,20.7,8.9,11.8,30.8,17.8,65.2,69.8,8.071933471933471,3.469022869022869,8.891476091476092,4.816216216216216,1.178794178794179,2.3268608414239482
TIG,2024,3497,140,11,6327,1566,2389,215,96,725,235,3,344,282,9439,2297,4023,2270,112,690,375,13615,43,31,865,3017,488,500,768.0,768.0,602,0.452,0.37,0.8220000000000001,0.287,0.345,15.5,11.5,24.8,30.3,42.2,18.4,9.1,19.7,10.7,9.0,29.5,16.7,65.7,69.3,8.0859375,4.39453125,10.13671875,5.859375,1.3125,1.84
TIJ,2024,3498,143,10,6441,1654,2459,243,115,830,161,5,347,292,13571,3374,5852,3341,80,721,279,13395,39,20,805,3119,466,402,817.0,817.0,572,0.387,0.325,0.712,0.258,0.315,12.8,12.3,25.7,25.5,45.6,18.8,10.1,20.6,8.0,12.6,43.7,24.9,96.5,101.3,7.942472460220318,3.0734394124847,8.86780905752754,4.428396572827418,0.8812729498164015,2.5842293906810037
VER,2024,3413,145,14,6093,1348,2445,251,130,822,215,0,297,265,10634,2641,4359,2547,100,622,296,12862,50,25,777,3015,465,426,788.0,788.0,518,0.415,0.332,0.747,0.258,0.299,14.7,10.5,22.1,27.8,44.5,17.5,10.3,18.2,8.7,9.6,33.9,19.8,77.4,82.7,7.104060913705584,3.3807106598984773,8.874365482233502,4.865482233502538,1.1421319796954315,2.1013513513513513
YUC,2024,3207,156,12,5857,1451,2254,162,108,829,208,0,291,217,10792,2683,4557,2539,70,664,254,12193,35,22,716,2866,439,400,750.0,750.0,478,0.386,0.316,0.702,0.25,0.306,10.8,11.9,24.8,28.7,46.4,17.7,7.2,20.7,7.9,12.8,37.4,20.8,83.7,88.5,7.968,3.048,8.592,4.8,0.84,2.6141732283464565
